PREDATOR PREY
Calanus_finnmarchicus Phaeocystis_pouchetii
Calanus_finnmarchicus Chaetoceros_socialis
Calanus_finnmarchicus Thalassiosira_nordenskioeldii
Calanus_finnmarchicus Fragilariopsis
Calanus_finnmarchicus Protoperidinium
Calanus_finnmarchicus Gymnodinium
Calanus_finnmarchicus Dinobryon_balticum
Calanus_finnmarchicus Thalassiosira_antarctica
Calanus_finnmarchicus Cylindrotheca_closterium
Calanus_finnmarchicus Chaetoceros
Calanus_finnmarchicus Coccolithus_pleagicus
Calanus_finnmarchicus Globoquadriana_pachyderma
Calanus_finnmarchicus Globigerinita_bradyi
Calanus_finnmarchicus Globigerina_quinqueloba
Calanus_finnmarchicus Nitzschia_frigida
Calanus_finnmarchicus Pleurosigma_stuxbergii
Calanus_finnmarchicus Cylindrotheca_closterium.1
Calanus_finnmarchicus Navicula_pelagica
Calanus_finnmarchicus Entomoneis
Calanus_finnmarchicus Cocconeis
Calanus_finnmarchicus Dinophysis_acuta
Calanus_finnmarchicus Onacea_borealis
Calanus_finnmarchicus Bradyidius_similis
Calanus_finnmarchicus Microcalanus_pusillus
Calanus_finnmarchicus Copepoda_nauplii
Calanus_finnmarchicus Metridia_longa
Calanus_finnmarchicus Metridia_lucens
Calanus_finnmarchicus Calanus_glacialis
Calanus_finnmarchicus Calanus_hyperboreus
Calanus_finnmarchicus Pseudocalanus
Calanus_finnmarchicus Oithona_similis
Calanus_finnmarchicus Fritillaria
Calanus_finnmarchicus Clione_limacina
Calanus_finnmarchicus Limacina_helicina
Calanus_finnmarchicus Gaidius_tenuispinus
Calanus_finnmarchicus Bradyidius_similis.1
Calanus_finnmarchicus Xanthocalanus
Calanus_finnmarchicus POM
Calanus_finnmarchicus Phytodetritus
Onacea_borealis Phaeocystis_pouchetii
Onacea_borealis Chaetoceros_socialis
Onacea_borealis Thalassiosira_nordenskioeldii
Onacea_borealis Fragilariopsis
Onacea_borealis Protoperidinium
Onacea_borealis Gymnodinium
Onacea_borealis Dinobryon_balticum
Onacea_borealis Thalassiosira_antarctica
Onacea_borealis Cylindrotheca_closterium
Onacea_borealis Chaetoceros
Onacea_borealis Coccolithus_pleagicus
Onacea_borealis Globoquadriana_pachyderma
Onacea_borealis Globigerinita_bradyi
Onacea_borealis Globigerina_quinqueloba
Onacea_borealis Nitzschia_frigida
Onacea_borealis Pleurosigma_stuxbergii
Onacea_borealis Cylindrotheca_closterium.1
Onacea_borealis Navicula_pelagica
Onacea_borealis Entomoneis
Onacea_borealis Cocconeis
Onacea_borealis Dinophysis_acuta
Onacea_borealis POM
Onacea_borealis Phytodetritus
Bradyidius_similis Phaeocystis_pouchetii
Bradyidius_similis Chaetoceros_socialis
Bradyidius_similis Thalassiosira_nordenskioeldii
Bradyidius_similis Fragilariopsis
Bradyidius_similis Protoperidinium
Bradyidius_similis Gymnodinium
Bradyidius_similis Dinobryon_balticum
Bradyidius_similis Thalassiosira_antarctica
Bradyidius_similis Cylindrotheca_closterium
Bradyidius_similis Chaetoceros
Bradyidius_similis Coccolithus_pleagicus
Bradyidius_similis Globoquadriana_pachyderma
