PREDATOR PREY
Zooplankton Phytoplankton
Zooplankton Microfauna
Microfauna Detritus
Sponges Detritus
Hydrozoans Detritus
Hydrozoans Symbiotic_algae
Hydrozoans Zooplankton
Hydrozoans Microfauna
Sea_Fan Detritus
Sea_Fan Symbiotic_algae
Sea_Fan Zooplankton
Sea_Fan Microfauna
Sea_anemones Detritus
Sea_anemones Zooplankton
Sea_anemones Microfauna
Stony_corals Detritus
Stony_corals Symbiotic_algae
Stony_corals Zooplankton
Stony_corals Microfauna
Bryozoans Detritus
Bryozoans Phytoplankton
Bryozoans Zooplankton
Bryozoans Microfauna
Bryozoans Polychaetes
Sipunculid_worms Detritus
Sipunculid_worms Benthic_algae
Sipunculid_worms Microfauna
Priapuloids Polychaetes
Chitons Benthic_algae
Chitons Microfauna
Chitons Sponges
Chitons Hydrozoans
Chitons Bryozoans
Chitons Barnacles
Gastropoda Detritus
Gastropoda Benthic_algae
Gastropoda Microfauna
Gastropoda Sponges
Gastropoda Hydrozoans
Gastropoda Sea_Fan
Gastropoda Sea_anemones
Gastropoda Stony_corals
Gastropoda Chitons
Gastropoda Gastropoda
Gastropoda Bivalvia
Gastropoda Scaphopoda
Gastropoda Polychaetes
Gastropoda Barnacles
Gastropoda Stomatopods
Gastropoda Amphipoda
Gastropoda Tanaids
Gastropoda Isopoda
Gastropoda Shrimps
Gastropoda Spiny_Lobsters
Gastropoda Scyllarid_Lobsters
Gastropoda Hermit_crabs
Gastropoda Crabs
Gastropoda Hemichordates
Gastropoda Tunicates
Bivalvia Detritus
Bivalvia Phytoplankton
Bivalvia Microfauna
Scaphopoda Microfauna
Squids Zooplankton
Squids Squids
Squids Shrimps
Octopuses Chitons
Octopuses Gastropoda
Octopuses Bivalvia
Octopuses Octopuses
Octopuses Polychaetes
Octopuses Shrimps
Octopuses Hermit_crabs
Octopuses Crabs
Polychaetes Detritus
Polychaetes Benthic_algae
Polychaetes Phytoplankton
Polychaetes Zooplankton
Polychaetes Microfauna
Polychaetes Sponges
Polychaetes Hydrozoans
Polychaetes Sea_Fan
Polychaetes Sea_anemones
Polychaetes Stony_corals
Polychaetes Bryozoans
Polychaetes Gastropoda
Polychaetes Bivalvia
Polychaetes Polychaetes
Polychaetes Amphipoda
Polychaetes Ophiuroids
Polychaetes Tunicates
Echiuroids Detritus
Echiuroids Benthic_algae
Echiuroids Microfauna
Pycnogonids Benthic_algae
Pycnogonids Zooplankton
Pycnogonids Sponges
Pycnogonids Hydrozoans
Pycnogonids Sea_Fan
Pycnogonids Sea_anemones
Pycnogonids Bryozoans
Barnacles Phytoplankton
Barnacles Zooplankton
Barnacles Microfauna
Stomatopods Zooplankton
Stomatopods Gastropoda
Stomatopods Bivalvia
Stomatopods Squids
Stomatopods Polychaetes
Stomatopods Amphipoda
Stomatopods Tanaids
Stomatopods Isopoda
Stomatopods Shrimps
Stomatopods Asteroids
Stomatopods Ophiuroids
Stomatopods Echinoids
Stomatopods Holothurians
Amphipoda Detritus
Amphipoda Benthic_algae
Amphipoda Zooplankton
Amphipoda Microfauna
Tanaids Benthic_algae
Tanaids Microfauna
Isopoda Detritus
Shrimps Detritus
Shrimps Benthic_algae
Shrimps Zooplankton
Shrimps Microfauna
Shrimps Gastropoda
Shrimps Bivalvia
Shrimps Scaphopoda
Shrimps Octopuses
Shrimps Polychaetes
Shrimps Stomatopods
Shrimps Amphipoda
Shrimps Tanaids
Shrimps Isopoda
Shrimps Shrimps
Shrimps Spiny_Lobsters
Shrimps Scyllarid_Lobsters
Shrimps Hermit_crabs
Shrimps Crabs
Shrimps Ophiuroids
Spiny_Lobsters Benthic_algae
Spiny_Lobsters Gastropoda
Spiny_Lobsters Bivalvia
Scyllarid_Lobsters Detritus
Scyllarid_Lobsters Bivalvia
Scyllarid_Lobsters Polychaetes
Hermit_crabs Detritus
Hermit_crabs Phytoplankton
Hermit_crabs Zooplankton
Hermit_crabs Microfauna
Hermit_crabs Bivalvia
Crabs Detritus
Crabs Benthic_algae
Crabs Phytoplankton
Crabs Zooplankton
Crabs Microfauna
Crabs Sponges
Crabs Stony_corals
Crabs Sipunculid_worms
Crabs Gastropoda
Crabs Bivalvia
Crabs Polychaetes
Crabs Barnacles
Crabs Amphipoda
Crabs Hermit_crabs
Crabs Crabs
Crabs Ophiuroids
Crabs Echinoids
Hemichordates Detritus
Hemichordates Phytoplankton
Hemichordates Microfauna
Asteroids Detritus
Asteroids Benthic_algae
Asteroids Microfauna
Asteroids Sponges
Asteroids Sea_Fan
Asteroids Sea_anemones
Asteroids Stony_corals
Asteroids Gastropoda
Asteroids Bivalvia
Asteroids Scaphopoda
Asteroids Polychaetes
Asteroids Crabs
Asteroids Asteroids
Asteroids Ophiuroids
Asteroids Echinoids
Asteroids Holothurians
Asteroids Tunicates
Ophiuroids Detritus
Ophiuroids Phytoplankton
Ophiuroids Zooplankton
Ophiuroids Microfauna
Echinoids Benthic_algae
Echinoids Sponges
Echinoids Stony_corals
Echinoids Bivalvia
Echinoids Asteroids
Echinoids Ophiuroids
Echinoids Echinoids
Echinoids Holothurians
Holothurians Detritus
Holothurians Benthic_algae
Holothurians Microfauna
Tunicates Detritus
Tunicates Phytoplankton
Tunicates Zooplankton
Tunicates Microfauna
Sea_Turtles Benthic_algae
Sea_Turtles Sponges
Sea_Turtles Stony_corals
Sea_Turtles Gastropoda
Sea_Turtles Bivalvia
Sea_Turtles Barnacles
Sea_Turtles Stomatopods
Sea_Turtles Spiny_Lobsters
Sea_Turtles Hermit_crabs
Sea_Turtles Crabs
Sea_Turtles Asteroids
Sea_Turtles Echinoids
Sea_Birds Zooplankton
Acanthurus_bahianus Detritus
Acanthurus_bahianus Benthic_algae
Acanthurus_chirugus Detritus
Acanthurus_chirugus Benthic_algae
Acanthurus_chirugus Gastropoda
Acanthurus_chirugus Polychaetes
Acanthurus_coeruleus Detritus
Acanthurus_coeruleus Benthic_algae
Acanthurus_coeruleus Symbiotic_algae
Acanthurus_coeruleus Microfauna
Antennarius_multiocellatus Stomatopods
Antennarius_multiocellatus Crabs
Antennarius_multiocellatus Haemulon_carbonarium
Antennarius_striatus Scorpaena_inermis
Phaeoptyx_conklini Microfauna
Phaeoptyx_conklini Polychaetes
Phaeoptyx_conklini Amphipoda
Phaeoptyx_conklini Tanaids
Phaeoptyx_conklini Isopoda
Phaeoptyx_maculatus Microfauna
Phaeoptyx_maculatus Polychaetes
Phaeoptyx_maculatus Amphipoda
Phaeoptyx_maculatus Isopoda
Phaeoptyx_maculatus Shrimps
Phaeoptyx_maculatus Crabs
Hypoatherina_harringtonensis Microfauna
Atherinomorus_stipes Zooplankton
Atherinomorus_stipes Microfauna
Atherinomorus_stipes Barnacles
Aulostomus_maculatus Shrimps
Aulostomus_maculatus Acanthurus_bahianus
Aulostomus_maculatus Acanthurus_chirugus
Aulostomus_maculatus Acanthurus_coeruleus
Aulostomus_maculatus Phaeoptyx_conklini
Aulostomus_maculatus Phaeoptyx_maculatus
Aulostomus_maculatus Entomacrodus_nigricans
Aulostomus_maculatus Ophioblennius_atlanticus
Aulostomus_maculatus Parablennius_marmoreus...62
Aulostomus_maculatus Scartella_cristata
Aulostomus_maculatus Labrisomus_guppyi
Aulostomus_maculatus Labrisomus_nuchipinnis
Aulostomus_maculatus Anchoa_hepsetus
Aulostomus_maculatus Anocha_lyolepis
