PREDATOR PREY
microfauna benthic_bacteria
microfauna microfauna
microfauna Benthic_algae
microfauna Detritus
meiofauna benthic_bacteria
meiofauna microfauna
meiofauna meiofauna
meiofauna Macro-epiphytes
meiofauna Phytoplankton
bacterioplankton Phytoplankton
microprotozoa bacterioplankton
microprotozoa microprotozoa
microprotozoa Phytoplankton
microprotozoa Detritus
Acunmindeutopus_naglei Halodule_wrightii
Acunmindeutopus_naglei Micro-epiphytes
Acunmindeutopus_naglei Benthic_algae
Acunmindeutopus_naglei Detritus
Amphithoe_longimana Halodule_wrightii
Amphithoe_longimana Micro-epiphytes
Amphithoe_longimana Benthic_algae
Amphithoe_longimana Detritus
Caprella_penantis Halodule_wrightii
Caprella_penantis Micro-epiphytes
Caprella_penantis Benthic_algae
Caprella_penantis Detritus
Cymadusa_compta Halodule_wrightii
Cymadusa_compta Micro-epiphytes
Cymadusa_compta Benthic_algae
Cymadusa_compta Detritus
Lembos_rectanularis Halodule_wrightii
Lembos_rectanularis Micro-epiphytes
Lembos_rectanularis Benthic_algae
Lembos_rectanularis Detritus
Batea_catharinensis Halodule_wrightii
Batea_catharinensis Micro-epiphytes
Batea_catharinensis Benthic_algae
Batea_catharinensis Detritus
Elasmopus_levis Halodule_wrightii
Elasmopus_levis Micro-epiphytes
Elasmopus_levis Benthic_algae
Elasmopus_levis Detritus
Melita Halodule_wrightii
Melita Micro-epiphytes
Melita Benthic_algae
Melita Detritus
Synchelidium Halodule_wrightii
Synchelidium Micro-epiphytes
Synchelidium Benthic_algae
Synchelidium Detritus
Listriella_barnardi Halodule_wrightii
Listriella_barnardi Micro-epiphytes
Listriella_barnardi Benthic_algae
Listriella_barnardi Detritus
Lysianopsis_alba Halodule_wrightii
Lysianopsis_alba Micro-epiphytes
Lysianopsis_alba Benthic_algae
Lysianopsis_alba Detritus
Brachiodontes_exustus bacterioplankton
Brachiodontes_exustus microprotozoa
Brachiodontes_exustus Phytoplankton
Chione_cancellata bacterioplankton
Chione_cancellata microprotozoa
Chione_cancellata Phytoplankton
Argopecten_irradians bacterioplankton
Argopecten_irradians microprotozoa
Argopecten_irradians Phytoplankton
Crepidula_fornicata bacterioplankton
Crepidula_fornicata microprotozoa
Crepidula_fornicata Phytoplankton
Crepidula_convexa bacterioplankton
Crepidula_convexa microprotozoa
Crepidula_convexa Phytoplankton
Pagurus_mclaughlini benthic_bacteria
Pagurus_mclaughlini meiofauna
Pagurus_mclaughlini Benthic_algae
Pagurus_mclaughlini Detritus
Libinia_dubia Halodule_wrightii
Libinia_dubia Micro-epiphytes
Libinia_dubia Benthic_algae
Neopanope_texana Acunmindeutopus_naglei
Neopanope_texana Amphithoe_longimana
Neopanope_texana Caprella_penantis
