PREDATOR PREY
Lutra_lutra Anguilla_anguilla
Lutra_lutra Pholis_gunnellus
Lutra_lutra Zoarces_viviparus
Lutra_lutra Myxocephalus_scorpius
Lutra_lutra Salmo_trutta
Phalacrocorax_carbo Anguilla_anguilla
Phalacrocorax_carbo Pollachus_virens
Phalacrocorax_carbo Ammodytes_tobianus
Phalacrocorax_carbo Zoarces_viviparus
Phalacrocorax_carbo Pomatoschistus_microps
Phalacrocorax_carbo Platichthys_flesus...44
Phalacrocorax_carbo Salmo_trutta
Ardea_cinerea Anguilla_anguilla
Ardea_cinerea Pollachus_virens
Ardea_cinerea Ammodytes_tobianus
Ardea_cinerea Pholis_gunnellus
Ardea_cinerea Zoarces_viviparus
Ardea_cinerea Pomatoschistus_microps
Ardea_cinerea Myxocephalus_scorpius
Ardea_cinerea Platichthys_flesus...44
Ardea_cinerea Salmo_trutta
Ardea_cinerea Carcinus_maenas
Cygnus_olor Enteromorpha
Tadorna_tadorna Carcinus_maenas
Tadorna_tadorna Hydrobia_ulvae
Tadorna_tadorna na...51
Tadorna_tadorna Corophium_volutator
Tadorna_tadorna Nereis_diversicolor
Tadorna_tadorna Littorina_littorea
Tadorna_tadorna Macoma_balthica
Tadorna_tadorna Mytilus_edulis
Tadorna_tadorna Cerastoderma_edule
Tadorna_tadorna Acarina
Tadorna_tadorna Enteromorpha
Anas_penelope Enteromorpha
Somateria_mollissima...8 Crangon_crangon
Somateria_mollissima...8 Carcinus_maenas
Somateria_mollissima...8 Littorina_littorea
Somateria_mollissima...8 Mytilus_edulis
Somateria_mollissima...9 Crangon_crangon
Somateria_mollissima...9 Hydrobia_ulvae
Somateria_mollissima...9 Corophium_volutator
Somateria_mollissima...9 Gammarus_spp.
Somateria_mollissima...9 Nereis_diversicolor
Somateria_mollissima...9 Littorina_littorea
Somateria_mollissima...9 Macoma_balthica
Somateria_mollissima...9 Mytilus_edulis
Haematopus_ostralegus Hydrobia_ulvae
Haematopus_ostralegus Corophium_volutator
Haematopus_ostralegus Nereis_diversicolor
Haematopus_ostralegus Littorina_littorea
Haematopus_ostralegus Macoma_balthica
Haematopus_ostralegus Mytilus_edulis
Charadris_hiaticula Neomysis_integer
Charadris_hiaticula Gammarus_spp.
Charadris_hiaticula Nereis_diversicolor
Charadris_hiaticula Littorina_littorea
Pluvialis_apricaria Hydrobia_ulvae
Pluvialis_apricaria Corophium_volutator
Pluvialis_apricaria Gammarus_spp.
Pluvialis_apricaria Nereis_diversicolor
Pluvialis_apricaria Littorina_littorea
Pluvialis_squatarola Corophium_volutator
Pluvialis_squatarola Nereis_diversicolor
Vanellus_vanellus Hydrobia_ulvae
Vanellus_vanellus Nereis_diversicolor
Vanellus_vanellus Macoma_balthica
Calidris_alpina Corophium_volutator
Calidris_alpina Nereis_diversicolor
Limos_lapponica Nereis_diversicolor
Numenius_arquata Carcinus_maenas
Numenius_arquata Hydrobia_ulvae
Numenius_arquata Nereis_diversicolor
Numenius_arquata Littorina_littorea
Tringa_totanus Crangon_crangon
Tringa_totanus Carcinus_maenas
Tringa_totanus Hydrobia_ulvae
Tringa_totanus na...51
Tringa_totanus Corophium_volutator
Tringa_totanus Gammarus_spp.
Tringa_totanus Nereis_diversicolor
Tringa_totanus Arenicola_marina
Tringa_totanus Littorina_saxatilis
Tringa_totanus Macoma_balthica
Tringa_totanus Mytilus_edulis
Tringa_totanus Chironomid_larvae
Arenaria_interpres Corophium_volutator
Arenaria_interpres Gammarus_spp.
Arenaria_interpres Littorina_littorea
Larus_canus Sprattus_sprattus
Larus_canus Clupea_harengus
Larus_canus Platichthys_flesus...44
Larus_canus Carcinus_maenas
Larus_canus Neomysis_integer
Larus_canus Corophium_volutator
Larus_canus Gammarus_spp.
Larus_canus Nereis_diversicolor
Larus_canus Littorina_littorea
Larus_ridibundus Sprattus_sprattus
Larus_ridibundus Clupea_harengus
Larus_ridibundus Platichthys_flesus...44
Larus_ridibundus Carcinus_maenas
Larus_ridibundus Neomysis_integer
Larus_ridibundus Corophium_volutator
Larus_ridibundus Gammarus_spp.
Larus_ridibundus Nereis_diversicolor
Larus_aragentatus Somateria_mollissima...9
Larus_aragentatus Sprattus_sprattus
Larus_aragentatus Clupea_harengus
Larus_aragentatus Pholis_gunnellus
Larus_aragentatus Platichthys_flesus...44
Larus_aragentatus Salmo_trutta
Larus_aragentatus Carcinus_maenas
Larus_aragentatus Littorina_littorea
Larus_aragentatus Mytilus_edulis
Larus_aragentatus Cerastoderma_edule
Larus_marinus Sprattus_sprattus
Larus_marinus Clupea_harengus
Larus_marinus Platichthys_flesus...44
Larus_marinus Carcinus_maenas
Larus_marinus Mytilus_edulis
Larus_marinus Cerastoderma_edule
Sterna_Sandvicensis Sprattus_sprattus
Sterna_Sandvicensis Clupea_harengus
Sterna_Sandvicensis Ammodytes_tobianus
Sterna_Sandvicensis Zoarces_viviparus
Sterna_Sandvicensis Platichthys_flesus...45
Sterna_hirundo Sprattus_sprattus
Sterna_hirundo Clupea_harengus
Sterna_hirundo Anguilla_anguilla
Sterna_hirundo Ammodytes_tobianus
Sterna_hirundo Crangon_crangon
Sterna_paradisea Sprattus_sprattus
Sterna_paradisea Clupea_harengus
Sterna_paradisea Ammodytes_tobianus
Corvus_frugilegus Carcinus_maenas
Corvus_frugilegus Littorina_littorea
Corvus_frugilegus Littorina_saxatilis
Corvus_frugilegus Macoma_balthica
Corvus_corone Carcinus_maenas
Corvus_corone Hydrobia_ulvae
Corvus_corone Littorina_saxatilis
Corvus_corone Mytilus_edulis
Sprattus_sprattus na...52
Clupea_harengus na...52
Anguilla_anguilla Crangon_crangon
Anguilla_anguilla Neomysis_integer
Anguilla_anguilla Corophium_volutator
Anguilla_anguilla Gammarus_spp.
Anguilla_anguilla Jaera_marina
Anguilla_anguilla Nereis_diversicolor
Sygnathus_rostellatus na...52
Sygnathus_rostellatus na...53
Sygnathus_rostellatus Semibalanus_balanoides
Pollachus_virens Pomatoschistus_microps
Pollachus_virens Crangon_crangon
Pollachus_virens Carcinus_maenas
Pollachus_virens na...51
Pollachus_virens Semibalanus_balanoides
Pollachus_virens Neomysis_integer
Pollachus_virens Corophium_volutator
Pollachus_virens Gammarus_spp.
Pollachus_virens Nereis_diversicolor
Ciliata_mustella Carcinus_maenas
Ciliata_mustella Gammarus_spp.
Ammodytes_tobianus Hydrobia_ulvae
Ammodytes_tobianus na...52
Ammodytes_tobianus na...53
Ammodytes_tobianus Semibalanus_balanoides
Ammodytes_tobianus Neomysis_integer
Ammodytes_tobianus Gammarus_spp.
Ammodytes_tobianus Jaera_marina
Ammodytes_tobianus Pygospio_elegans
Ammodytes_tobianus Mytilus_edulis
Pholis_gunnellus Crangon_crangon
Pholis_gunnellus Carcinus_maenas
Pholis_gunnellus na...51
Pholis_gunnellus na...53
Pholis_gunnellus Semibalanus_balanoides
Pholis_gunnellus Neomysis_integer
Pholis_gunnellus Corophium_volutator
Pholis_gunnellus Gammarus_spp.
Pholis_gunnellus Jaera_marina
Pholis_gunnellus Nematodes
Pholis_gunnellus Nereis_diversicolor
Pholis_gunnellus Littorina_saxatilis
Pholis_gunnellus Mytilus_edulis
Pholis_gunnellus Chironomid_larvae
Pholis_gunnellus Enteromorpha
Zoarces_viviparus Crangon_crangon
Zoarces_viviparus Hydrobia_ulvae
Zoarces_viviparus na...51
Zoarces_viviparus na...53
Zoarces_viviparus Semibalanus_balanoides
Zoarces_viviparus Corophium_volutator
Zoarces_viviparus Gammarus_spp.
Zoarces_viviparus Jaera_marina
Zoarces_viviparus Nereis_diversicolor
Zoarces_viviparus Pygospio_elegans
Zoarces_viviparus Capitallidae
Zoarces_viviparus Mytilus_edulis
Zoarces_viviparus Foraminifera
Pomatoschistus_minutus Crangon_crangon
Pomatoschistus_minutus Hyale_nilssoni
Pomatoschistus_minutus Carcinus_maenas
Pomatoschistus_minutus Hydrobia_ulvae
Pomatoschistus_minutus na...53
Pomatoschistus_minutus Neomysis_integer
Pomatoschistus_minutus Corophium_volutator
Pomatoschistus_minutus Gammarus_spp.
Pomatoschistus_minutus Jaera_marina
Pomatoschistus_minutus Nereis_diversicolor
Pomatoschistus_minutus Pygospio_elegans
Pomatoschistus_minutus Tubificoides_benedeni
Pomatoschistus_minutus Mytilus_edulis
Pomatoschistus_minutus Chironomid_larvae
Pomatoschistus_minutus Foraminifera
Pomatoschistus_microps Pomatoschistus_minutus
Pomatoschistus_microps Pomatoschistus_microps
Pomatoschistus_microps Crangon_crangon
Pomatoschistus_microps Hyale_nilssoni
Pomatoschistus_microps Carcinus_maenas
Pomatoschistus_microps Hydrobia_ulvae
Pomatoschistus_microps na...53
Pomatoschistus_microps Semibalanus_balanoides
Pomatoschistus_microps Neomysis_integer
Pomatoschistus_microps Corophium_volutator
Pomatoschistus_microps Gammarus_spp.
Pomatoschistus_microps Jaera_marina
Pomatoschistus_microps Nototropis_spp.
Pomatoschistus_microps Nereis_diversicolor
Pomatoschistus_microps Pygospio_elegans
Pomatoschistus_microps Manayunkia_aestuarina
Pomatoschistus_microps Arenicola_marina
Pomatoschistus_microps Mytilus_edulis
Pomatoschistus_microps Chironomid_larvae
Pomatoschistus_microps Acarina
Pomatoschistus_microps Foraminifera
Myxocephalus_scorpius Pomatoschistus_microps
Myxocephalus_scorpius Crangon_crangon
Myxocephalus_scorpius Carcinus_maenas
Myxocephalus_scorpius na...52
Myxocephalus_scorpius Semibalanus_balanoides
Myxocephalus_scorpius Neomysis_integer
Myxocephalus_scorpius Corophium_volutator
Myxocephalus_scorpius Gammarus_spp.
Agonus_cataphractus Crangon_crangon
Agonus_cataphractus Gammarus_spp.
Gasterosteus_aculeatus Crangon_crangon
Gasterosteus_aculeatus na...52
Gasterosteus_aculeatus Semibalanus_balanoides
Gasterosteus_aculeatus Neomysis_integer
Gasterosteus_aculeatus Corophium_volutator
Gasterosteus_aculeatus Gammarus_spp.
Gasterosteus_aculeatus Nereis_diversicolor
Pleuronectes_platessa Crangon_crangon
Pleuronectes_platessa Hydrobia_ulvae
Pleuronectes_platessa na...53
Pleuronectes_platessa Semibalanus_balanoides
Pleuronectes_platessa Neomysis_integer
Pleuronectes_platessa Corophium_volutator
Pleuronectes_platessa Gammarus_spp.
Pleuronectes_platessa Jaera_marina
Pleuronectes_platessa Nereis_diversicolor
Pleuronectes_platessa Pygospio_elegans
Pleuronectes_platessa Capitallidae
Pleuronectes_platessa Manayunkia_aestuarina
Pleuronectes_platessa Tubificoides_benedeni
Pleuronectes_platessa Mytilus_edulis
Pleuronectes_platessa Cerastoderma_edule
Pleuronectes_platessa Foraminifera
Platichthys_flesus...44 Sprattus_sprattus
Platichthys_flesus...44 Clupea_harengus
Platichthys_flesus...44 Ammodytes_tobianus
Platichthys_flesus...44 Pomatoschistus_microps
Platichthys_flesus...44 Myxocephalus_scorpius
Platichthys_flesus...44 Pleuronectes_platessa
Platichthys_flesus...44 Platichthys_flesus...44
Platichthys_flesus...44 Crangon_crangon
Platichthys_flesus...44 Carcinus_maenas
Platichthys_flesus...44 Hydrobia_ulvae
Platichthys_flesus...44 na...53
Platichthys_flesus...44 Semibalanus_balanoides
Platichthys_flesus...44 Neomysis_integer
Platichthys_flesus...44 Mya_arenaria
Platichthys_flesus...44 Talitrus_saltator
Platichthys_flesus...44 Corophium_volutator
Platichthys_flesus...44 Bathyporeia_pilosa
Platichthys_flesus...44 Gammarus_spp.
Platichthys_flesus...44 Idotea_emarginata
Platichthys_flesus...44 Eurydice_pulchra
Platichthys_flesus...44 Nereis_virens
Platichthys_flesus...44 Nereis_diversicolor
Platichthys_flesus...44 Hesionidae
Platichthys_flesus...44 Parathemisto_spp.
Platichthys_flesus...44 Phyllodoce
Platichthys_flesus...44 Eteone
Platichthys_flesus...44 Pygospio_elegans
Platichthys_flesus...44 Capitallidae
Platichthys_flesus...44 Manayunkia_aestuarina
Platichthys_flesus...44 Orbinia
Platichthys_flesus...44 Arenicola_marina
Platichthys_flesus...44 Tubificoides_benedeni
Platichthys_flesus...44 Tubifex_costatus
Platichthys_flesus...44 Littorina_littorea
Platichthys_flesus...44 Alderia_modesta
Platichthys_flesus...44 Retusa_obtusa
Platichthys_flesus...44 Macoma_balthica
Platichthys_flesus...44 Mytilus_edulis
Platichthys_flesus...44 Cerastoderma_edule
Platichthys_flesus...44 Chironomid_larvae
Platichthys_flesus...44 Diptera_larvae/pupae
Platichthys_flesus...44 Enteromorpha
Platichthys_flesus...45 Crangon_crangon
Platichthys_flesus...45 Carcinus_maenas
Platichthys_flesus...45 na...53
Platichthys_flesus...45 Semibalanus_balanoides
Platichthys_flesus...45 Neomysis_integer
Platichthys_flesus...45 Corophium_volutator
Platichthys_flesus...45 Gammarus_spp.
Platichthys_flesus...45 Jaera_marina
Platichthys_flesus...45 Nereis_diversicolor
Platichthys_flesus...45 Pygospio_elegans
